scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-07-23T06:42:13+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:42:46+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:44:48+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:46:49+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:48:50+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:50:52+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:52:53+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:54:55+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:56:56+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T06:58:58+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:00:59+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:03:00+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:05:02+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:07:03+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:09:04+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:11:06+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:13:07+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:15:09+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:17:10+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
2026-07-23T07:19:11+05:30,200,0,200,Reporting Date & Time :23-07-2026(THURSDAY) :: 04:00 PM,23-07-2026,THURSDAY,04:00 PM
