scraped_at,quota,issued,available,ttd_reporting_datetime_raw,ttd_reporting_date,ttd_reporting_weekday,ttd_reporting_time
2026-09-08T06:58:21+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:15:21+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:17:22+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:19:22+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:21:22+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:23:23+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:25:23+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:27:24+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:29:24+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:31:24+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:33:25+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:35:25+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:37:25+05:30,200,0,200,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:39:26+05:30,200,4,196,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:41:26+05:30,200,5,195,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:43:27+05:30,200,10,190,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T07:45:54+05:30,200,14,186,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T08:08:07+05:30,200,54,146,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
2026-09-08T08:10:07+05:30,200,54,146,Reporting Date & Time :08-09-2026(TUESDAY) :: 04:00 PM,08-09-2026,TUESDAY,04:00 PM
